                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.0319,                0.86095,                 1.2532,                0.76009,                0.64774,                0.72597,                0.47527,                 1.1982,                0.93457,                 1.4721,              0.0002448,              0.0002448,              0.0002448
                     56,                 1.0499,                0.84614,                 1.2575,                0.76118,                0.69175,                0.73648,                0.45712,                 1.2179,                0.91418,                  1.501,             0.00023959,             0.00023959,             0.00023959
                     57,                 1.0371,                0.83325,                  1.249,                0.75355,                0.70561,                0.75038,                0.46832,                 1.1913,                0.88978,                 1.4583,             0.00023439,             0.00023439,             0.00023439
                     58,                 1.0453,                0.84802,                 1.2563,                0.81128,                 0.6766,                0.75381,                0.48041,                 1.2098,                0.91822,                 1.4753,             0.00022918,             0.00022918,             0.00022918
                     59,                 1.0177,                0.81691,                 1.2397,                0.76717,                0.70768,                0.75862,                0.48296,                 1.2079,                0.88351,                 1.4804,             0.00022397,             0.00022397,             0.00022397
                     60,                  1.031,                 0.8323,                 1.2504,                0.76024,                 0.7086,                0.76491,                0.48745,                  1.215,                0.87908,                 1.4805,             0.00021876,             0.00021876,             0.00021876
                     61,                 1.0299,                0.83262,                 1.2474,                0.78134,                0.69172,                0.76837,                0.48971,                 1.1982,                 0.9228,                 1.4768,             0.00021356,             0.00021356,             0.00021356
                     62,                 1.0038,                0.80746,                 1.2247,                0.79729,                0.66806,                0.76014,                0.47991,                 1.2061,                0.89739,                 1.4736,             0.00020835,             0.00020835,             0.00020835
                     63,                 1.0103,                0.80623,                 1.2331,                0.79871,                0.70904,                0.77864,                0.48843,                 1.2149,                0.89769,                 1.4816,             0.00020314,             0.00020314,             0.00020314
                     64,                 1.0163,                0.80724,                 1.2364,                0.75993,                0.71139,                0.75002,                0.48554,                 1.2044,                0.89106,                 1.4867,             0.00019793,             0.00019793,             0.00019793
                     65,                 1.0194,                0.80927,                 1.2426,                0.76594,                0.70136,                 0.7691,                0.49061,                 1.1972,                 0.8848,                 1.4777,             0.00019273,             0.00019273,             0.00019273
